date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:02:49	153/153	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Oct%202025%2006:02:47%20GMT	https://ctoiam.com/robots.txt		(from )
08:02:50	95841/95841	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202025%2006:02:50%20GMT	https://ctoiam.com/	/Users/stevermeister/ctoiam-static/ctoiam.com/index.html	(from )
08:02:51	16384/16384	---M--	200	added ('OK')	text/css	etag:%2266a07484-4000%22	https://ctoiam.com/wp-includes/blocks/navigation/style.min.css?ver=6.6.4	/Users/stevermeister/ctoiam-static/ctoiam.com/wp-includes/blocks/navigation/style.min369f.css	(from https://ctoiam.com/)
08:02:51	21391/21391	---M--	200	added ('OK')	application/javascript	etag:%2268c2e75b-538f%22	https://ctoiam.com/wp-content/plugins/cookie-law-info/lite/frontend/js/script.min.js?ver=3.3.5	/Users/stevermeister/ctoiam-static/ctoiam.com/wp-content/plugins/cookie-law-info/lite/frontend/js/script.min46df.js	(from https://ctoiam.com/)
08:02:52	701/701	---MC-	200	added ('OK')	application/rss+xml	etag:%2267e03d6c79ecb2ecc4a12f283036a754%22	https://ctoiam.com/comments/feed/	/Users/stevermeister/ctoiam-static/ctoiam.com/comments/feed/index.html	(from https://ctoiam.com/)
08:02:53	774/774	---MC-	200	added ('OK')	text/xml	date:Tue,%2007%20Oct%202025%2006:02:52%20GMT	https://ctoiam.com/xmlrpc.php?rsd	/Users/stevermeister/ctoiam-static/ctoiam.com/xmlrpc0db0.php	(from https://ctoiam.com/)
08:02:53	77311/77311	---MC-	200	added ('OK')	application/rss+xml	etag:%2267e03d6c79ecb2ecc4a12f283036a754%22	https://ctoiam.com/feed/	/Users/stevermeister/ctoiam-static/ctoiam.com/feed/index.html	(from https://ctoiam.com/)
08:02:53	235174/235174	---MC-	200	added ('OK')	application/json	date:Tue,%2007%20Oct%202025%2006:02:53%20GMT	https://ctoiam.com/wp-json/	/Users/stevermeister/ctoiam-static/ctoiam.com/wp-json/index.html	(from https://ctoiam.com/)
08:02:53	21350/21350	---M--	200	added ('OK')	image/png	etag:%2264be4ccb-5366%22	https://ctoiam.com/wp-content/uploads/fbrfg/apple-touch-icon.png	/Users/stevermeister/ctoiam-static/ctoiam.com/wp-content/uploads/fbrfg/apple-touch-icon.png	(from https://ctoiam.com/)
08:02:54	2092/2092	---M--	200	added ('OK')	image/png	etag:%2264be4ccb-82c%22	https://ctoiam.com/wp-content/uploads/fbrfg/favicon-32x32.png	/Users/stevermeister/ctoiam-static/ctoiam.com/wp-content/uploads/fbrfg/favicon-32x32.png	(from https://ctoiam.com/)
08:02:55	1088/1088	---M--	200	added ('OK')	image/png	etag:%2264be4ccb-440%22	https://ctoiam.com/wp-content/uploads/fbrfg/favicon-16x16.png	/Users/stevermeister/ctoiam-static/ctoiam.com/wp-content/uploads/fbrfg/favicon-16x16.png	(from https://ctoiam.com/)
08:02:56	476/476	---M--	200	added ('OK')	application/octet-stream	etag:%2264be4ccb-1dc%22	https://ctoiam.com/wp-content/uploads/fbrfg/site.webmanifest	/Users/stevermeister/ctoiam-static/ctoiam.com/wp-content/uploads/fbrfg/site.webmanifest	(from https://ctoiam.com/)
08:02:57	603/603	---M--	200	added ('OK')	image/svg+xml	etag:%2264be4ccb-25b%22	https://ctoiam.com/wp-content/uploads/fbrfg/safari-pinned-tab.svg	/Users/stevermeister/ctoiam-static/ctoiam.com/wp-content/uploads/fbrfg/safari-pinned-tab.svg	(from https://ctoiam.com/)
08:02:58	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%2264be4ccb-3aee%22	https://ctoiam.com/wp-content/uploads/fbrfg/favicon.ico	/Users/stevermeister/ctoiam-static/ctoiam.com/wp-content/uploads/fbrfg/favicon.ico	(from https://ctoiam.com/)
08:02:59	27160/27160	---M--	200	added ('OK')	application/javascript	etag:%22660cc93d-6a18%22	https://ctoiam.com/wp-includes/js/dist/vendor/wp-polyfill-importmap.min.js?ver=1.8.2	/Users/stevermeister/ctoiam-static/ctoiam.com/wp-includes/js/dist/vendor/wp-polyfill-importmap.minef6d.js	(from https://ctoiam.com/)
